slug,name_display,source_format,original_preserved,raw_path,thumb_path,normalized_path,hires_path,output_format,status,notes
hollow-body-hold,Hollow Body Hold,png,yes,assets/exercises/Hollow Body Hold.png,assets/exercises/thumbs/hollow-body-hold.webp,assets/exercises/normalized/hollow-body-hold.webp,assets/exercises/hires/hollow-body-hold.webp,webp,ok,101KB → norm: 11KB (-89%)
hyperextension,Hyperextension,png,yes,assets/exercises/Hyperextension.png,assets/exercises/thumbs/hyperextension.webp,assets/exercises/normalized/hyperextension.webp,assets/exercises/hires/hyperextension.webp,webp,ok,465KB → norm: 30KB (-93%)
inchworm,Inchworm,png,yes,assets/exercises/Inchworm.png,assets/exercises/thumbs/inchworm.webp,assets/exercises/normalized/inchworm.webp,assets/exercises/hires/inchworm.webp,webp,ok,474KB → norm: 19KB (-96%)
incline-barbell-bench-press,Incline Barbell Bench Press,png,yes,assets/exercises/Incline Barbell Bench Press.png,assets/exercises/thumbs/incline-barbell-bench-press.webp,assets/exercises/normalized/incline-barbell-bench-press.webp,assets/exercises/hires/incline-barbell-bench-press.webp,webp,ok,351KB → norm: 49KB (-86%)
incline-dumbbell-bench-press,Incline Dumbbell Bench Press,png,yes,assets/exercises/Incline Dumbbell Bench Press.png,assets/exercises/thumbs/incline-dumbbell-bench-press.webp,assets/exercises/normalized/incline-dumbbell-bench-press.webp,assets/exercises/hires/incline-dumbbell-bench-press.webp,webp,ok,239KB → norm: 32KB (-87%)
incline-dumbbell-curl,Incline Dumbbell Curl,png,yes,assets/exercises/Incline Dumbbell Curl.png,assets/exercises/thumbs/incline-dumbbell-curl.webp,assets/exercises/normalized/incline-dumbbell-curl.webp,assets/exercises/hires/incline-dumbbell-curl.webp,webp,ok,1576KB → norm: 318KB (-80%)
incline-push-up,Incline Push-Up,png,yes,assets/exercises/Incline Push-Up.png,assets/exercises/thumbs/incline-push-up.webp,assets/exercises/normalized/incline-push-up.webp,assets/exercises/hires/incline-push-up.webp,webp,ok,792KB → norm: 28KB (-96%)
incline-walk,Incline Walk,png,yes,assets/exercises/Incline Walk.png,assets/exercises/thumbs/incline-walk.webp,assets/exercises/normalized/incline-walk.webp,assets/exercises/hires/incline-walk.webp,webp,ok,1111KB → norm: 37KB (-97%)
inverted-row,Inverted Row,png,yes,assets/exercises/Inverted Row.png,assets/exercises/thumbs/inverted-row.webp,assets/exercises/normalized/inverted-row.webp,assets/exercises/hires/inverted-row.webp,webp,ok,1053KB → norm: 23KB (-98%)
jump-rope,Jump Rope,png,yes,assets/exercises/Jump Rope.png,assets/exercises/thumbs/jump-rope.webp,assets/exercises/normalized/jump-rope.webp,assets/exercises/hires/jump-rope.webp,webp,ok,1080KB → norm: 210KB (-81%)
